"test_code","qc_code","date","analyte","value"
"PATY","C-PATY1",2020-03-03,"phe",62.4
"PATY","C-PATY1",2020-03-03,"phe",44.4
"PATY","C-PATY2",2020-03-03,"phe",437
"PATY","C-PATY2",2020-03-03,"phe",468
"PATY","C-PATY3",2020-03-03,"phe",1450
"PATY","C-PATY3",2020-03-03,"phe",1530
"PATY","C-PATY1",2020-03-04,"phe",62.6
"PATY","C-PATY1",2020-03-04,"phe",50
"PATY","C-PATY2",2020-03-04,"phe",483
"PATY","C-PATY2",2020-03-04,"phe",513
"PATY","C-PATY3",2020-03-04,"phe",1370
"PATY","C-PATY3",2020-03-04,"phe",1460
"PATY","C-PATY1",2020-03-05,"phe",48.2
"PATY","C-PATY2",2020-03-05,"phe",437
"PATY","C-PATY3",2020-03-05,"phe",1530
"PATY","C-PATY1",2020-03-06,"phe",48.5
"PATY","C-PATY2",2020-03-06,"phe",434
"PATY","C-PATY3",2020-03-06,"phe",1460
"PATY","C-PATY1",2020-03-09,"phe",46.6
"PATY","C-PATY2",2020-03-09,"phe",464
"PATY","C-PATY3",2020-03-09,"phe",1440
"PATY","C-PATY1",2020-03-10,"phe",44.2
"PATY","C-PATY2",2020-03-10,"phe",459
"PATY","C-PATY3",2020-03-10,"phe",1350
"PATY","C-PATY1",2020-03-11,"phe",48.3
"PATY","C-PATY2",2020-03-11,"phe",464
"PATY","C-PATY3",2020-03-11,"phe",1620
"PATY","C-PATY1",2020-03-12,"phe",47.1
"PATY","C-PATY2",2020-03-12,"phe",476
"PATY","C-PATY3",2020-03-12,"phe",1460
"PATY","C-PATY1",2020-03-13,"phe",47.5
"PATY","C-PATY2",2020-03-13,"phe",444
"PATY","C-PATY3",2020-03-13,"phe",1390
"PATY","C-PATY1",2020-03-16,"phe",43
"PATY","C-PATY2",2020-03-16,"phe",498
"PATY","C-PATY3",2020-03-16,"phe",1590
"PATY","C-PATY1",2020-03-17,"phe",52.4
"PATY","C-PATY2",2020-03-17,"phe",525
"PATY","C-PATY3",2020-03-17,"phe",1320
"PATY","C-PATY1",2020-03-18,"phe",46.8
"PATY","C-PATY1",2020-03-18,"phe",46.3
"PATY","C-PATY2",2020-03-18,"phe",441
"PATY","C-PATY2",2020-03-18,"phe",464
"PATY","C-PATY3",2020-03-18,"phe",1590
"PATY","C-PATY3",2020-03-18,"phe",1650
"PATY","C-PATY1",2020-03-19,"phe",43.1
"PATY","C-PATY2",2020-03-19,"phe",492
"PATY","C-PATY3",2020-03-19,"phe",1500
"PATY","C-PATY1",2020-03-20,"phe",49.7
"PATY","C-PATY2",2020-03-20,"phe",469
"PATY","C-PATY3",2020-03-20,"phe",1420
"PATY","C-PATY1",2020-03-23,"phe",47
"PATY","C-PATY2",2020-03-23,"phe",505
"PATY","C-PATY3",2020-03-23,"phe",1500
"PATY","C-PATY1",2020-03-24,"phe",51.1
"PATY","C-PATY2",2020-03-24,"phe",468
"PATY","C-PATY3",2020-03-24,"phe",1470
"PATY","C-PATY1",2020-03-25,"phe",50.4
"PATY","C-PATY2",2020-03-25,"phe",523
"PATY","C-PATY3",2020-03-25,"phe",1300
"PATY","C-PATY1",2020-03-26,"phe",53
"PATY","C-PATY2",2020-03-26,"phe",487
"PATY","C-PATY3",2020-03-26,"phe",1440
"PATY","C-PATY1",2020-03-27,"phe",47.3
"PATY","C-PATY2",2020-03-27,"phe",493
"PATY","C-PATY1",2020-03-30,"phe",47.5
"PATY","C-PATY2",2020-03-30,"phe",479
"PATY","C-PATY1",2020-03-31,"phe",51.7
"PATY","C-PATY2",2020-03-31,"phe",496
"PATY","C-PATY1",2020-04-02,"phe",51.7
"PATY","C-PATY2",2020-04-02,"phe",469
"PATY","C-PATY1",2020-04-06,"phe",62.9
"PATY","C-PATY1",2020-04-06,"phe",62.5
"PATY","C-PATY2",2020-04-06,"phe",464
"PATY","C-PATY1",2020-04-08,"phe",63.2
"PATY","C-PATY1",2020-04-09,"phe",60.4
"PATY","C-PATY2",2020-04-09,"phe",483
"PATY","C-PATY3",2020-04-09,"phe",1460
